iter	Passed	Remaining
0	3	3176
1	5	2901
2	8	2921
3	11	2924
4	14	2950
5	17	2891
6	18	2649
7	21	2662
8	24	2732
9	27	2724
10	30	2721
11	33	2751
12	36	2750
13	39	2761
14	41	2747
15	44	2753
16	48	2782
17	51	2803
18	54	2798
19	56	2791
20	59	2792
21	62	2788
22	66	2834
23	69	2846
24	72	2841
25	76	2847
26	79	2862
27	82	2867
28	85	2861
29	88	2858
30	91	2857
31	94	2845
32	97	2845
33	100	2846
34	103	2845
35	106	2844
36	109	2838
37	112	2851
38	115	2842
39	118	2853
40	121	2849
41	125	2854
42	128	2849
43	131	2848
44	134	2854
45	137	2849
46	140	2851
47	143	2841
48	146	2835
49	148	2825
50	151	2816
51	154	2815
52	157	2809
53	159	2802
54	164	2827
55	168	2840
56	172	2848
57	176	2858
58	180	2877
59	183	2874
60	188	2896
61	192	2910
62	195	2914
63	199	2920
64	203	2933
65	207	2932
66	210	2928
67	214	2937
68	217	2933
69	221	2940
70	225	2945
71	228	2950
72	232	2949
73	237	2968
74	240	2965
75	244	2971
76	247	2970
77	251	2978
78	256	2992
79	261	3004
80	264	2999
81	268	3000
82	271	3001
83	275	3004
84	279	3011
85	283	3010
86	287	3013
87	290	3013
88	294	3017
89	298	3013
90	308	3084
91	312	3085
92	316	3086
93	320	3087
94	323	3083
95	327	3082
96	332	3096
97	335	3091
98	339	3086
99	345	3106
100	348	3100
101	352	3101
102	356	3104
103	359	3101
104	363	3095
105	369	3113
106	372	3105
107	376	3110
108	379	3103
109	382	3097
110	387	3104
111	390	3097
112	394	3093
113	396	3085
114	401	3093
115	404	3086
116	411	3103
117	414	3095
118	418	3096
119	421	3089
120	424	3082
121	428	3081
122	430	3072
123	433	3065
124	436	3058
125	439	3049
126	444	3052
127	447	3045
128	450	3041
129	453	3034
130	456	3026
131	459	3023
132	462	3017
133	466	3012
134	468	3004
135	471	2997
136	475	2996
137	479	2993
138	482	2989
139	485	2984
140	488	2978
141	493	2981
142	496	2977
143	500	2972
144	502	2964
145	506	2960
146	509	2953
147	512	2947
148	515	2943
149	518	2936
150	520	2928
151	523	2922
152	527	2919
153	530	2916
154	533	2910
155	537	2907
156	540	2900
157	542	2893
158	545	2887
159	549	2884
160	552	2878
161	555	2872
162	558	2868
163	561	2862
164	564	2855
165	566	2848
166	569	2841
167	572	2835
168	576	2833
169	580	2834
170	584	2833
171	587	2828
172	590	2824
173	593	2818
174	598	2819
175	600	2813
176	605	2815
177	608	2809
178	611	2803
179	615	2804
180	618	2798
181	622	2799
182	626	2795
183	629	2793
184	633	2789
185	635	2783
186	639	2780
187	642	2776
188	649	2786
189	652	2782
190	656	2779
191	659	2774
192	663	2773
193	666	2768
194	669	2763
195	672	2760
196	675	2754
197	681	2758
198	684	2755
199	687	2751
200	691	2747
201	695	2746
202	697	2739
203	700	2734
204	704	2730
205	707	2725
206	712	2729
207	716	2726
208	722	2734
209	725	2730
210	729	2726
211	732	2721
212	735	2716
213	738	2712
214	741	2706
215	747	2713
216	750	2708
217	753	2704
218	756	2698
219	759	2693
220	762	2689
221	766	2686
222	773	2693
223	778	2696
224	781	2692
225	784	2686
226	789	2687
227	792	2683
228	796	2680
229	798	2674
230	801	2668
231	804	2662
232	807	2657
233	810	2653
234	813	2648
235	816	2643
236	819	2639
237	822	2633
238	825	2629
239	828	2624
240	831	2619
241	835	2615
242	838	2612
243	841	2607
244	844	2603
245	847	2597
246	850	2593
247	853	2588
248	856	2582
249	859	2577
250	862	2572
251	864	2567
252	867	2562
253	870	2557
254	876	2561
255	879	2556
256	883	2552
257	886	2548
258	889	2545
259	892	2541
260	902	2555
261	906	2553
262	910	2551
263	914	2550
264	918	2548
265	922	2546
266	926	2542
267	929	2537
268	932	2532
269	936	2531
270	939	2527
271	943	2524
272	946	2519
273	951	2521
274	954	2516
275	957	2511
276	960	2506
277	963	2502
278	966	2497
279	969	2493
280	972	2488
281	976	2485
282	979	2480
283	982	2477
284	985	2473
285	989	2469
286	992	2465
287	995	2461
288	999	2458
289	1002	2453
290	1006	2452
291	1009	2447
292	1012	2442
293	1016	2441
294	1019	2435
295	1022	2431
296	1024	2425
297	1035	2438
298	1037	2433
299	1041	2429
300	1044	2425
301	1048	2422
302	1051	2417
303	1054	2413
304	1056	2408
305	1059	2403
306	1062	2398
307	1065	2393
308	1068	2389
309	1072	2386
310	1075	2381
311	1078	2377
312	1083	2377
313	1086	2374
314	1090	2370
315	1092	2365
316	1096	2362
317	1099	2358
318	1102	2354
319	1105	2350
320	1109	2346
321	1113	2343
322	1116	2339
323	1119	2334
324	1123	2333
325	1126	2329
326	1129	2324
327	1132	2321
328	1136	2317
329	1139	2313
330	1141	2308
331	1145	2304
332	1148	2299
333	1151	2295
334	1154	2291
335	1157	2287
336	1160	2283
337	1163	2278
338	1166	2274
339	1169	2270
340	1172	2266
341	1175	2262
342	1179	2259
343	1182	2255
344	1186	2253
345	1189	2248
346	1193	2246
347	1196	2241
348	1198	2236
349	1201	2232
350	1204	2227
351	1207	2222
352	1210	2218
353	1213	2213
354	1215	2209
355	1220	2207
356	1223	2202
357	1228	2202
358	1232	2200
359	1237	2199
360	1243	2200
361	1246	2196
362	1249	2193
363	1253	2190
364	1256	2185
365	1259	2181
366	1262	2177
367	1265	2173
368	1269	2170
369	1272	2166
370	1277	2165
371	1280	2161
372	1284	2159
373	1287	2155
374	1290	2150
375	1293	2147
376	1296	2143
377	1301	2140
378	1303	2136
379	1306	2132
380	1310	2128
381	1313	2124
382	1316	2120
383	1319	2116
384	1322	2112
385	1325	2108
386	1329	2105
387	1334	2104
388	1337	2100
389	1340	2096
390	1343	2092
391	1347	2089
392	1350	2085
393	1354	2083
394	1357	2079
395	1360	2075
396	1363	2070
397	1366	2067
398	1369	2063
399	1372	2059
400	1376	2056
401	1379	2052
402	1382	2048
403	1385	2044
404	1388	2040
405	1392	2036
406	1395	2032
407	1399	2031
408	1402	2026
409	1405	2022
410	1408	2018
411	1411	2014
412	1414	2010
413	1418	2007
414	1421	2004
415	1424	2000
416	1427	1995
417	1430	1991
418	1433	1987
419	1436	1983
420	1439	1979
421	1442	1975
422	1445	1971
423	1450	1970
424	1453	1966
425	1457	1963
426	1461	1960
427	1464	1956
428	1468	1954
429	1472	1951
430	1476	1948
431	1480	1946
432	1484	1943
433	1490	1944
434	1494	1941
435	1498	1938
436	1501	1934
437	1504	1930
438	1507	1926
439	1510	1922
440	1513	1919
441	1516	1914
442	1520	1911
443	1523	1907
444	1526	1904
445	1530	1900
446	1533	1896
447	1536	1892
448	1539	1888
449	1542	1884
450	1546	1882
451	1549	1878
452	1551	1873
453	1555	1870
454	1558	1866
455	1561	1862
456	1563	1858
457	1567	1854
458	1570	1850
459	1572	1846
460	1575	1842
461	1578	1838
462	1581	1834
463	1584	1830
464	1587	1827
465	1591	1823
466	1594	1819
467	1596	1815
468	1599	1810
469	1602	1806
470	1605	1803
471	1607	1798
472	1610	1794
473	1613	1790
474	1616	1786
475	1623	1786
476	1626	1783
477	1629	1779
478	1633	1776
479	1638	1774
480	1641	1770
481	1644	1767
482	1647	1763
483	1649	1759
484	1653	1755
485	1656	1752
486	1659	1748
487	1663	1745
488	1667	1742
489	1672	1740
490	1676	1738
491	1680	1735
492	1684	1731
493	1687	1728
494	1690	1724
495	1694	1721
496	1697	1718
497	1701	1715
498	1704	1711
499	1707	1707
500	1711	1704
501	1715	1701
502	1718	1697
503	1721	1694
504	1724	1690
505	1727	1686
506	1731	1684
507	1735	1680
508	1738	1677
509	1741	1673
510	1744	1669
511	1747	1666
512	1751	1662
513	1754	1658
514	1757	1655
515	1761	1651
516	1764	1648
517	1767	1644
518	1770	1641
519	1773	1637
520	1777	1634
521	1780	1630
522	1783	1626
523	1786	1622
524	1789	1618
525	1792	1614
526	1795	1611
527	1798	1607
528	1801	1603
529	1804	1600
530	1808	1597
531	1811	1593
532	1815	1590
533	1818	1587
534	1822	1583
535	1826	1580
536	1829	1577
537	1833	1574
538	1836	1570
539	1839	1566
540	1842	1563
541	1845	1559
542	1849	1556
543	1853	1553
544	1857	1550
545	1860	1547
546	1864	1544
547	1868	1541
548	1872	1538
549	1876	1535
550	1880	1532
551	1883	1529
552	1887	1525
553	1891	1522
554	1895	1519
555	1899	1516
556	1902	1513
557	1907	1511
558	1911	1508
559	1916	1505
560	1920	1503
561	1924	1499
562	1928	1496
563	1931	1492
564	1934	1489
565	1936	1485
566	1940	1481
567	1943	1477
568	1946	1474
569	1949	1470
570	1951	1466
571	1955	1462
572	1958	1459
573	1961	1455
574	1964	1451
575	1967	1448
576	1970	1444
577	1973	1440
578	1976	1437
579	1980	1433
580	1983	1430
581	1986	1426
582	1990	1423
583	1992	1419
584	1995	1415
585	1998	1411
586	2002	1408
587	2005	1405
588	2008	1401
589	2011	1398
590	2015	1395
591	2019	1391
592	2022	1388
593	2026	1384
594	2030	1382
595	2034	1379
596	2038	1375
597	2041	1372
598	2045	1369
599	2048	1365
600	2051	1361
601	2055	1358
602	2058	1355
603	2063	1352
604	2066	1348
605	2069	1345
606	2072	1342
607	2075	1338
608	2079	1334
609	2082	1331
610	2085	1328
611	2090	1325
612	2094	1322
613	2097	1318
614	2101	1315
615	2105	1312
616	2108	1308
617	2113	1306
618	2116	1302
619	2120	1299
620	2123	1296
621	2127	1292
622	2130	1289
623	2133	1285
624	2136	1282
625	2140	1278
626	2143	1275
627	2146	1271
628	2149	1267
629	2152	1264
630	2155	1260
631	2158	1256
632	2161	1253
633	2164	1249
634	2168	1246
635	2171	1242
636	2174	1239
637	2178	1235
638	2181	1232
639	2184	1228
640	2186	1224
641	2190	1221
642	2193	1217
643	2196	1214
644	2200	1210
645	2203	1207
646	2206	1203
647	2209	1200
648	2213	1196
649	2216	1193
650	2221	1190
651	2224	1187
652	2227	1183
653	2230	1179
654	2233	1176
655	2236	1172
656	2240	1169
657	2243	1166
658	2246	1162
659	2249	1158
660	2252	1155
661	2256	1152
662	2261	1149
663	2265	1146
664	2267	1142
665	2271	1138
666	2273	1135
667	2276	1131
668	2279	1127
669	2282	1124
670	2285	1120
671	2288	1117
672	2292	1114
673	2296	1110
674	2299	1107
675	2302	1103
676	2307	1101
677	2312	1098
678	2316	1095
679	2320	1091
680	2323	1088
681	2327	1085
682	2330	1081
683	2333	1078
684	2336	1074
685	2339	1070
686	2342	1067
687	2346	1063
